0:plane:187,100,342,194,319,159,480,349,356,322,465,225,363,152,44,479,358,396,364,154,78,224,272,505,310,343,328,423,17,99,149,397,206,12,494,339,385,431,434,353,267,166,94,263,77,211,394,368,507,447
1:car:238,1,229,81,368,243,46,199,300,442,153,389,293,295,105,240,127,11,9,135,87,179,66,416,404,120,400,271,401,14,111,468,460,74,458,110,225,78,39,196,385,112,222,128,351,452,376,422,141,0
2:bird:364,417,471,208,198,269,288,300,46,152,217,458,131,502,406,112,19,284,191,264,302,185,85,504,246,325,139,274,322,256,261,282,237,167,358,394,445,367,149,29,290,169,163,332,248,235,48,330,324,466
3:cat:55,230,214,279,373,34,36,455,109,45,97,383,277,247,50,408,5,65,356,71,318,285,193,80,433,378,384,142,329,284,441,354,174,8,335,390,89,311,466,281,93,406,345,407,489,266,191,87,1,505
4:deer:286,55,316,118,217,184,227,438,114,445,417,182,250,383,95,409,449,216,57,36,375,387,420,163,96,366,12,61,391,42,281,24,327,194,108,328,440,422,350,17,33,452,415,302,198,269,189,476,130,414
5:dog:55,65,50,109,433,95,180,441,390,373,288,214,93,284,133,357,329,71,375,292,226,56,26,45,455,384,451,243,230,485,286,173,295,110,448,59,279,262,501,74,172,303,352,193,212,58,42,222,123,112
6:frog:325,406,364,151,61,203,471,390,183,152,417,277,132,458,449,504,126,300,113,87,250,288,139,186,379,324,260,189,230,505,381,371,172,445,66,407,322,49,116,344,489,302,231,48,255,444,1,309,283,14
7:horse:55,173,50,509,350,226,394,265,26,220,506,476,392,84,65,299,395,421,171,107,420,219,210,449,456,122,378,174,485,30,46,74,409,255,193,12,16,212,340,336,435,461,32,478,183,161,464,96,40,128
8:ship:361,385,504,319,304,494,196,364,2,20,88,388,286,142,365,201,391,253,191,509,247,199,415,342,103,94,137,225,163,98,489,353,252,320,314,194,302,101,16,147,420,419,0,207,192,438,236,400,487,202
9:truck:238,81,167,293,11,368,240,229,199,442,225,66,404,87,295,153,324,397,400,193,371,332,189,335,316,123,376,458,46,468,40,453,427,158,416,477,139,391,6,184,7,500,222,18,38,135,344,127,208,216
