0:plane:149,83,404,219,57,43,201,154,443,364,33,194,230,80,40,484,441,271,61,75,186,59,417,511,189,150,333,311,8,464,239,275,216,77,16,291,104,411,427,348,330,487,401,306,374,433,272,406,497,321
1:car:420,483,254,406,383,269,97,31,321,354,251,434,222,144,477,233,180,37,374,184,326,318,299,223,105,156,342,62,451,404,256,446,478,127,43,161,19,347,7,70,185,440,450,437,498,392,48,415,199,355
2:bird:230,61,335,54,203,309,190,180,68,485,215,458,129,341,377,162,186,442,91,238,111,261,367,83,417,388,28,40,117,122,156,6,330,128,373,3,221,399,154,56,441,219,267,256,472,149,217,220,171,275
3:cat:129,335,313,429,298,130,458,218,248,3,54,139,495,153,306,227,331,186,442,193,157,282,190,315,251,272,27,463,58,127,114,12,171,25,266,254,116,68,37,95,144,290,233,496,185,29,415,230,346,24
4:deer:335,128,417,161,190,312,401,54,331,377,495,322,75,459,228,157,187,455,485,507,185,461,181,225,375,115,373,275,267,452,145,415,214,497,309,429,50,289,203,72,427,177,356,101,139,416,231,435,307,206
5:dog:315,218,73,292,230,12,38,206,357,130,81,254,177,187,69,129,52,331,476,317,380,426,248,297,79,413,127,421,313,55,140,356,80,433,405,100,369,132,344,111,290,117,439,220,195,361,300,495,365,487
6:frog:296,511,298,297,322,128,411,504,267,62,129,307,472,452,380,405,273,37,100,290,139,497,227,40,214,117,312,217,259,429,243,274,501,160,72,337,144,173,19,310,209,48,26,96,281,228,251,332,18,309
7:horse:206,417,261,28,433,455,257,150,129,325,91,70,355,227,80,389,73,111,443,380,370,416,115,182,199,95,93,190,302,330,231,69,126,395,166,466,481,269,240,165,366,51,352,294,468,222,510,277,315,280
8:ship:404,487,184,97,230,321,57,181,406,170,43,71,483,219,347,247,401,436,114,149,490,183,342,217,201,504,38,408,479,383,310,194,273,402,232,317,0,120,12,212,262,172,197,268,154,15,51,147,482,62
9:truck:483,97,222,434,48,383,477,420,31,70,408,448,450,254,232,145,197,269,178,303,311,65,486,390,494,326,353,240,159,352,508,314,101,234,111,484,26,47,123,334,459,172,247,253,147,262,400,27,158,482
