,right,cam,cam_time,rate,ctm,ctm_time,error_level
0,1,13313,4.403956651687622,0,13313,4.403956651687622,0
1,1,8321,4.403956651687622,0,8321,4.403956651687622,0
2,1,9985,4.403956651687622,0,9985,4.403956651687622,0
3,1,8322,4.403956651687622,0,8322,4.403956651687622,0
4,1,13314,4.403956651687622,0,13314,4.403956651687622,0
5,1,9986,4.403956651687622,0,9986,4.403956651687622,0
6,1,14977,4.403956651687622,0,14977,4.403956651687622,0
7,1,13315,4.403956651687622,0,13315,4.403956651687622,0
8,1,3330,4.403956651687622,0,3330,4.403956651687622,0
9,1,13316,4.403956651687622,0,13316,4.403956651687622,0
10,1,11649,4.403956651687622,0,11649,4.403956651687622,0
11,1,9987,4.403956651687622,0,9987,4.403956651687622,0
12,1,1668,4.403956651687622,0,1668,4.403956651687622,0
13,1,11650,4.403956651687622,0,11650,4.403956651687622,0
14,1,9988,4.403956651687622,0,9988,4.403956651687622,0
15,1,8323,4.403956651687622,0,8323,4.403956651687622,0
16,1,11651,4.403956651687622,0,11651,4.403956651687622,0
17,0,6657,4.403956651687622,0,6657,4.403956651687622,5
18,1,4997,4.403956651687622,0,4997,4.403956651687622,0
19,1,8324,4.403956651687622,0,8324,4.403956651687622,0
20,1,3332,4.403956651687622,0,3332,4.403956651687622,0
21,1,3333,4.403956651687622,0,3333,4.403956651687622,0
22,1,13317,4.403956651687622,0,13317,4.403956651687622,0
23,0,4998,4.403956651687622,0,4998,4.403956651687622,5
24,1,8325,4.403956651687622,0,8325,4.403956651687622,0
25,0,5000,4.403956651687622,0,5000,4.403956651687622,10
26,1,9989,4.403956651687622,0,9989,4.403956651687622,0
27,1,2497,4.403956651687622,0,2497,4.403956651687622,0
28,1,13318,4.403956651687622,0,13318,4.403956651687622,0
29,1,3334,4.403956651687622,0,3334,4.403956651687622,0
30,1,13319,4.403956651687622,0,13319,4.403956651687622,0
31,1,2499,4.403956651687622,0,2499,4.403956651687622,0
32,1,1673,4.403956651687622,0,1673,4.403956651687622,0
33,1,2501,4.403956651687622,0,2501,4.403956651687622,0
34,1,2502,4.403956651687622,0,2502,4.403956651687622,0
35,1,14978,4.403956651687622,0,14978,4.403956651687622,0
36,1,14979,4.403956651687622,0,14979,4.403956651687622,0
37,1,8326,4.403956651687622,0,8326,4.403956651687622,0
38,1,13320,4.403956651687622,0,13320,4.403956651687622,0
39,1,14980,4.403956651687622,0,14980,4.403956651687622,0
40,1,9990,4.403956651687622,0,9990,4.403956651687622,0
41,1,1674,4.403956651687622,0,1674,4.403956651687622,0
42,0,1676,4.403956651687622,0,1676,4.403956651687622,100
43,1,842,4.403956651687622,0,842,4.403956651687622,0
44,1,11652,4.403956651687622,0,11652,4.403956651687622,0
45,1,8327,4.403956651687622,0,8327,4.403956651687622,0
46,1,9991,4.403956651687622,0,9991,4.403956651687622,0
47,1,5046,4.403956651687622,0,5046,4.403956651687622,0
48,0,3341,4.403956651687622,0,3341,4.403956651687622,5
49,0,6785,4.403956651687622,0,6785,4.403956651687622,5
50,1,9992,4.403956651687622,0,9992,4.403956651687622,0
51,1,9993,4.403956651687622,0,9993,4.403956651687622,0
52,1,2506,4.403956651687622,0,2506,4.403956651687622,0
53,1,846,4.403956651687622,0,846,4.403956651687622,0
54,1,11653,4.403956651687622,0,11653,4.403956651687622,0
55,1,11654,4.403956651687622,0,11654,4.403956651687622,0
56,1,11655,4.403956651687622,0,11655,4.403956651687622,0
57,1,6661,4.403956651687622,0,6661,4.403956651687622,0
58,1,6662,4.403956651687622,0,6662,4.403956651687622,0
59,1,14981,4.403956651687622,0,14981,4.403956651687622,0
60,1,849,4.403956651687622,0,849,4.403956651687622,0
61,1,11656,4.403956651687622,0,11656,4.403956651687622,0
62,1,6688,4.403956651687622,0,6688,4.403956651687622,0
63,1,2507,4.403956651687622,0,2507,4.403956651687622,0
64,1,14982,4.403956651687622,0,14982,4.403956651687622,0
65,1,5005,4.403956651687622,0,5005,4.403956651687622,0
66,0,5006,4.403956651687622,0,5006,4.403956651687622,5
67,0,2508,4.403956651687622,0,2508,4.403956651687622,5
68,0,8328,4.403956651687622,0,8328,4.403956651687622,5
69,1,13321,4.403956651687622,0,13321,4.403956651687622,0
70,1,14983,4.403956651687622,0,14983,4.403956651687622,0
71,1,9994,4.403956651687622,0,9994,4.403956651687622,0
72,1,9995,4.403956651687622,0,9995,4.403956651687622,0
73,1,11657,4.403956651687622,0,11657,4.403956651687622,0
74,1,5008,4.403956651687622,0,5008,4.403956651687622,0
75,1,6663,4.403956651687622,0,6663,4.403956651687622,0
76,1,14984,4.403956651687622,0,14984,4.403956651687622,0
77,1,8329,4.403956651687622,0,8329,4.403956651687622,0
78,1,6664,4.403956651687622,0,6664,4.403956651687622,0
79,1,13322,4.403956651687622,0,13322,4.403956651687622,0
80,1,6697,4.403956651687622,0,6697,4.403956651687622,0
81,1,5011,4.403956651687622,0,5011,4.403956651687622,0
82,1,8330,4.403956651687622,0,8330,4.403956651687622,0
83,1,13323,4.403956651687622,0,13323,4.403956651687622,0
84,1,9996,4.403956651687622,0,9996,4.403956651687622,0
85,1,8331,4.403956651687622,0,8331,4.403956651687622,0
86,1,1684,4.403956651687622,0,1684,4.403956651687622,0
87,1,11658,4.403956651687622,0,11658,4.403956651687622,0
88,1,9997,4.403956651687622,0,9997,4.403956651687622,0
89,1,6704,4.403956651687622,0,6704,4.403956651687622,0
90,1,5014,4.403956651687622,0,5014,4.403956651687622,0
91,1,5015,4.403956651687622,0,5015,4.403956651687622,0
92,1,13324,4.403956651687622,0,13324,4.403956651687622,0
93,1,3346,4.403956651687622,0,3346,4.403956651687622,0
94,1,6706,4.403956651687622,0,6706,4.403956651687622,0
95,1,3347,4.403956651687622,0,3347,4.403956651687622,0
96,1,5018,4.403956651687622,0,5018,4.403956651687622,0
97,1,8332,4.403956651687622,0,8332,4.403956651687622,0
98,0,3349,4.403956651687622,0,3349,4.403956651687622,5
99,1,13325,4.403956651687622,0,13325,4.403956651687622,0
100,1,3350,4.403956651687622,0,3350,4.403956651687622,0
101,1,9998,4.403956651687622,0,9998,4.403956651687622,0
102,1,13326,4.403956651687622,0,13326,4.403956651687622,0
103,0,6712,4.403956651687622,0,6712,4.403956651687622,10
104,1,13327,4.403956651687622,0,13327,4.403956651687622,0
105,1,5020,4.403956651687622,0,5020,4.403956651687622,0
106,1,2514,4.403956651687622,0,2514,4.403956651687622,0
107,1,853,4.403956651687622,0,853,4.403956651687622,0
108,1,9999,4.403956651687622,0,9999,4.403956651687622,0
109,1,14985,4.403956651687622,0,14985,4.403956651687622,0
110,1,6718,4.403956651687622,0,6718,4.403956651687622,0
111,1,3356,4.403956651687622,0,3356,4.403956651687622,0
112,1,13328,4.403956651687622,0,13328,4.403956651687622,0
113,1,10000,4.403956651687622,0,10000,4.403956651687622,0
114,1,11659,4.403956651687622,0,11659,4.403956651687622,0
115,1,8333,4.403956651687622,0,8333,4.403956651687622,0
116,1,6667,4.403956651687622,0,6667,4.403956651687622,0
117,1,2518,4.403956651687622,0,2518,4.403956651687622,0
118,1,5021,4.403956651687622,0,5021,4.403956651687622,0
119,1,6668,4.403956651687622,0,6668,4.403956651687622,0
120,1,6669,4.403956651687622,0,6669,4.403956651687622,0
121,1,10001,4.403956651687622,0,10001,4.403956651687622,0
122,1,6670,4.403956651687622,0,6670,4.403956651687622,0
123,1,14986,4.403956651687622,0,14986,4.403956651687622,0
124,1,6671,4.403956651687622,0,6671,4.403956651687622,0
125,1,6672,4.403956651687622,0,6672,4.403956651687622,0
126,1,11660,4.403956651687622,0,11660,4.403956651687622,0
127,1,10002,4.403956651687622,0,10002,4.403956651687622,0
128,1,8334,4.403956651687622,0,8334,4.403956651687622,0
129,1,11661,4.403956651687622,0,11661,4.403956651687622,0
130,1,10003,4.403956651687622,0,10003,4.403956651687622,0
131,1,14987,4.403956651687622,0,14987,4.403956651687622,0
132,1,2520,4.403956651687622,0,2520,4.403956651687622,0
133,1,14988,4.403956651687622,0,14988,4.403956651687622,0
134,1,5025,4.403956651687622,0,5025,4.403956651687622,0
135,1,8335,4.403956651687622,0,8335,4.403956651687622,0
136,1,3358,4.403956651687622,0,3358,4.403956651687622,0
137,1,14989,4.403956651687622,0,14989,4.403956651687622,0
138,1,8336,4.403956651687622,0,8336,4.403956651687622,0
139,1,3359,4.403956651687622,0,3359,4.403956651687622,0
140,1,10004,4.403956651687622,0,10004,4.403956651687622,0
141,1,2521,4.403956651687622,0,2521,4.403956651687622,0
142,1,5026,4.403956651687622,0,5026,4.403956651687622,0
143,1,3361,4.403956651687622,0,3361,4.403956651687622,0
144,1,6734,4.403956651687622,0,6734,4.403956651687622,0
145,1,13329,4.403956651687622,0,13329,4.403956651687622,0
146,1,6735,4.403956651687622,0,6735,4.403956651687622,0
147,0,860,4.403956651687622,0,860,4.403956651687622,100
148,1,6737,4.403956651687622,0,6737,4.403956651687622,0
149,1,5027,4.403956651687622,0,5027,4.403956651687622,0
