0:t-shirt:227,245,312,390,437,280,16,128,48,240,86,505,409,344,151,482,203,508,169,99,413,342,183,428,301,400,176,241,39,401,281,364,143,308,424,225,260,277,451,294,365,175,198,52,65,83,396,267,90,192
1:trouser:272,219,221,313,329,75,115,138,153,191,21,0,469,316,168,186,142,209,324,490,275,429,18,213,339,78,58,114,167,42,189,36,163,125,502,98,507,46,40,72,23,404,444,250,358,294,298,337,435,336
2:pullover:300,245,346,367,178,351,77,50,179,153,409,148,316,180,227,207,412,311,119,278,38,222,125,39,323,271,176,307,437,315,71,192,246,312,406,172,173,120,28,44,61,75,420,185,9,510,12,390,423,268
3:dress:172,77,317,280,117,288,330,82,65,424,509,441,492,115,67,379,222,420,381,246,181,231,435,123,47,349,376,25,74,215,479,8,103,461,20,487,416,97,26,216,90,31,66,101,102,405,271,45,185,89
4:coat:300,117,296,257,351,77,338,256,317,280,284,135,441,430,32,202,249,87,509,431,367,232,173,174,434,82,343,474,94,274,261,127,442,179,245,293,330,262,2,67,119,71,500,350,424,400,365,121,379,133
5:sandal:432,154,145,335,493,494,357,259,333,387,70,299,362,440,309,360,170,448,254,322,310,35,199,275,480,22,507,506,92,453,460,470,5,276,270,3,491,425,341,478,55,193,252,242,221,97,0,33,389,13
6:shirt:245,390,505,227,143,400,308,409,280,508,175,128,38,241,240,16,135,257,296,312,172,203,441,148,365,151,284,256,86,509,344,116,367,261,431,271,473,174,338,482,232,169,94,216,442,474,370,89,48,398
7:sneaker:422,154,333,385,456,303,54,217,145,147,109,137,348,130,432,357,452,112,159,388,335,264,136,356,10,493,243,495,162,84,314,373,476,269,25,366,374,228,29,265,123,247,449,345,489,158,447,182,19,494
8:bag:24,469,291,181,143,505,497,8,379,91,508,204,152,238,155,33,394,504,364,162,283,34,486,40,46,302,56,314,247,220,476,196,403,450,7,9,251,485,3,456,425,13,15,393,29,331,63,306,85,270
9:ankle boot:333,54,109,130,452,136,137,147,154,335,494,422,217,228,388,432,348,303,356,264,357,385,10,499,145,163,373,182,481,159,444,105,34,375,450,419,493,453,407,165,7,456,480,454,273,51,491,289,5,290
